iata,name,location,country
CWP,Campbellpore Airport,Campbellpore,Pakistan
DRE,Drummond Island Airport,"Drummond Island, Michigan",United States
ERM,Erechim Airport,"Erechim, Rio Grande do Sul",Brazil
FSZ,Mt. Fuji Shizuoka Airport,"Shizuoka, Honshu",Japan
GRA,Gamarra Airport,Gamarra,Colombia
HLF,Hultsfred-Vimmerby Air Base,Hultsfred / Vimmerby,Sweden
IKT,Irkutsk International Airport,Irkutsk,Russia
JIB,Ambouli Airport,Djibouti,Djibouti
KGE,Kagau Island Airport,Kagau Island,Solomon Islands
KSS,Sikasso Airport,Sikasso,Mali
LGR,Cochrane Airport,Cochrane,Chile
LUU,Laura Airport,"Laura, Queensland",Australia
MHT,Manchester-Boston Regional Airport,"Manchester, New Hampshire",United States
MSZ,Namibe Airport,Namibe,Angola
NLV,Mykolaiv Airport,Mykolaiv,Ukraine
OUN,University of Oklahoma Westheimer Airport,"Norman, Oklahoma",United States
PRZ,Prineville Airport,"Prineville, Oregon",United States
RMF,Marsa Alam,Marsa Alam,Egypt
SKE,"Skien Airport, Geiteryggen","Skien, Telemark",Norway
TAF,Oran Tafaraoui Airport,Oran,Algeria
TVS,Tangshan Sannühe Airport,"Tangshan, Hebei",China
VUP,Alfonso López Pumarejo Airport,Valledupar,Colombia
YAY,St. Anthony Airport,"St. Anthony, Newfoundland and Labrador",Canada
YPO,Peawanuck Airport,"Peawanuck, Ontario",Canada
ZND,Zinder Airport,Zinder,Niger
ADD,Bole International Airport,Addis Ababa,Ethiopia
APS,Anápolis Airport,"Anápolis, Goiás",Brazil
BCQ,Brak Airport,Brak,Libya
BNA,Nashville International Airport,"Nashville, Tennessee",United States
BYT,Bantry Airport,"Bantry, County Cork",Ireland
CKS,Carajás Airport,"Carajás, Pará",Brazil
CWR,Cowarie Airport,"Cowarie, South Australia",Australia
DRG,Deering Airport,"Deering, Alaska",United States
ERN,Eirunepe Airport,"Eirunepe, Amazonas",Brazil
FTA,Futuna Airport,"Futuna Island, Taféa",Vanuatu
GRB,Austin Straubel International Airport,"Green Bay, Wisconsin",United States
HLG,Wheeling Ohio County Airport,"Wheeling, West Virginia",United States
IKV,Ankeny Regional Airport,"Ankeny, Iowa",United States
JID,Recreation and Conference Center Heliport,"City of Industry, California",United States
KGF,Sary-Arka Airport,Karaganda,Kazakhstan
